Cleaned_Text,Rating
ambience good food quite good saturday lunch cost effective good place sate brunch one also chill friends parents waiter soumen das really courteous helpful,5
ambience good pleasant evening service prompt food good good experience soumen das kudos service,5
must try great food great ambience thnx service pradeep subroto personal recommendation penne alfredo pasta also music background amazing,5
soumen das arun great guy behavior sincerety good food course would like visit place,5
food goodwe ordered kodi drumsticks basket mutton biryani good thanks pradeep served well enjoyed ambience also good,5
ambiance good service good food apradeecp subro best service food good papiya good hostess ur caption good star restaurant,5
nice place ambience different food ordered tasty service also gud worth visit reasonable well really must visit place,5
well reading many reviews finally visited placeambience good coming food crispy corn nice tawa fish ok basket biryani disappointed us biryani ok flattering claimed staff polite prompt especially pradeep suman,4
excellent food specially like spicy food courteous staff shubro pradeep papiya gave excellent service corporate team dinner overall great team dinners party,5
came birthday treat close friend perfect place treat like hospitable cooperative staff food delicious ambience really good music lighting chili honey lotus stem must try special mention papiya took good care us,5
service great food awesome service staff manab papiya courteous attentive would like come frequently place,5
good ambience amazing food good service friendly staff pradeep papiya shuvro definitely visit loved design menu card,5
food good soup expected starters ordered honey chilli lotus stem must try vegan ppl service great frequent visits papiya know experience also food really impressive,5
food good telangana kodiak fry must trymutton biriyani goodpapiya helped choose best dishes attended wellmust visit,5
ordered corn cheese balls manchow soup paneer shashlik sizzler sizzler stale paneer smelling waiter impolite even accept mistake never going,1
food ambience fantastic waiter manav maji really quick service cheese balls must try starter scrumptious,5
came lunch food good tasty tried buffet items veg nonveg tasty ambience service also good staff courteous shubhamtraveltaleswordpresscom,4
best thing place food favorite go dish definitely alfredo pasta although items good well service behavior staff topnotch attended mr soumen das extremely polite definitely visit soon,5
polite friendly staff nice ambience good spread menu drinks awesome service good manav looking forward seeing,5
food really good vegetarian items including paneer mushroom kofta additionally service papiya shuvro really good,5
beautiful cozy classy time place truly recommended special days percent corporate discounts treat cotorie well without burning hole ur pocket also interior done well love vibe menu honey chilli lotus stems basket biryanis sizzling brownies favourite also loved tomato basil shorba different creamy standards restaurants im definitely making visits beyond flavours special mention papiya hostess evening excellent service,5
please good quite expensive coming taste rate cant click better pictures wen visit nightbest day time pics,4
service good fast even people polite well behaving manav pradeep good hope everyone behaves way,4
farewell feast recently enjoyed well good management boys gave complimentary food made us happy food perfect desserts starters wonderful,5
excellent experience mouthwatering food good ambience must go place hyderabad served shubhro papiya awesome behaviour enjoyable evening friends,5
place good live music superb beautiful voice food nice n loved lightningentrance also nice,5
sonalin great voice must visit place became fan food good star side live music lightening everything awesome,5
heard voiceshe beautiful amazing voice love voice way sings became fan sonalin priyadarshini good place must visit food also nice,5
sonalin good singer city beautiful face beautiful face must visit place beautiful live music loved loved food well good lightning,5
food descent enough desert options also good starrers also tasty one bad experience ee waiting time even though booked table prior time,4
short review decent breads starters bad shaam savera little screwed daal makhni oneoff case better ambience night importantly good quantity wanted give thats option extensive ambience better night friends day didnt like much prefer ambience go night food ordered hara bhara kebab shaam savera daal makhni rotis raita yes im vegetarian good part quantity excited see shaam savera menu take want order close messed real bad especially colors daal makhni big chunks garlic cloves spoiled wasnt creamy breads raita decent hara bhara kebabs decent soft extra outer coating peanuts youre peanut fan kebabs ask skip step conclusion looked like made food hurry would like give place another try hoping mine one odd cases things change youll know,3
excellent food good service soumen das ambience good live music food served timely decor restaurant amazing well,5
review place would star ambeince service staff lacks lots place even though food good places like special hey papiya shuvro,5
nice experience food amazing friendly staff welcoming attitude papia friendly accommodating good ambiance definitely recommend place,5
dinner friends menu perfect something everyone service awesome papia accommodating good ambience amazing live music back definitely,5
service experience good especially papiya food served good tasty served well would like visit beyond recommend friends food reasonable price,5
service food ambiance nice staff humble taking order serving food live music like cherry cake,5
food ordered banjara tangdi starter best among papiya shuvro well mannered service best among,5
staff polite responsive food best part better ambience also awesome met two persons named papiya shuvro best services food items liked basket biryani kodi drum sticks finally loved,5
came parents ordered thai peneer tikka kaju pulao veg biryani kaju pulao veg biryani really good decent place go family shubro papiya served well,4
well new hyderabad fact say probably best place ive eaten buffet hyderabad period especially id like thank shurvo papiya amazing service double metha good overall worthwhile experience,5
wonderful place awesome ambience best visit night see pretty lights enjoy savory foods shubro papiya good service,5
good ambience great serviceweve buffet peoplethe waiters patient even got noodles replaced since one served buffet went bad shoutout shubro pradeep took care entire afternoon,4
review place comes multiple visits spanned months safely say one good places around theyre located near biodiversity signal fabindia theres ample parking two four wheelers ambience bit dim dark seating divided various options including pdr section menu design shape bottle array spans continental chinese indian cuisines heres list things tried across visits panko crumbed mozzarella sticks cheese sticks coated fried pure cheese bliss veg lasagna place one good lasagne town crispy chilli corn kernels usual favourite one slightly different presentation makhmali paneer tikka cottage cheese shashlik sizzler italian nachos nachos topped red sauce cheese baked dish cheese cheese pizza soft base pizza loaded cheese pieces green olives stress enough loved tried also tried lunch buffet variety may elaborate places food quality discount offer bulk bookings least onetime try really adore mocktails beyond delight absolute delight also fan guava chilli apple kiwi night drinks staff ever courteous special mention papiya shuvro attendants latest visit place zomato gold brings reasonable rates meal two would roughly around fills tummy also heart,4
lunch today beyond flavors food good delicious awesome service provided soumen das shuvro would highly recommend restaurant,5
reason giving star longlong time wait tables went friday afternoon waited almost mins get table lost patience left another restaurant v didnt get table even aftr waiting long timei think restaurant management take consideration try decrease waiting time customer,3
service really exceptional cheers manav served us really well food nice loved ambience nice music playing background,4
soumen das waited table thanks buddy great service visit soon soumen das waited table thanks buddy great service visit soonsoumen das waited table thanks buddy great service visit soon soumen das waited table thanks buddy great service visit soon,5
papiya shuvro great helped us get tables quickly suggested us best sizzlers menu ambience awesome suggested best table helpful till visit awesome service guys try well u plan take loved one n give osm experience place,5
quite good ambienceliked special restro biryanimust trylike service papiya shuvrothey really good der servicewill like visit againits nice place visit specially nyt tymfood yumshould try biryani,5
pradeep shubroto amazing friendly service awesome n food worldmust visit people visit,5
visited place colleagues farewell really great timegood food service pradeep shobro come later,5
restaurant amazing ambience staff polite suggest good recommendations food visit beyond flavours sometime reach papiya shuvro suggest really good dishes,5
excellent food service special mention papiya shuvro surprised see good quality food served low prices ambience quite good highly recommended,5
papiya shuvro fb executives really courteous friendly thoroughly enjoyed experience good place cute lil date hehe nice family dinner,5
first time visited restaurant experience good terms food hospitality service ambience thanks shubro papiya hospitality,5
went lunch buffet yesterday took chance seeing good average reviews zomato spread buffet less veg non veg starters main course veg non veg one fried rice chicken biryani desserts ice cream jamun taste ok expect much little disappointing starters hot fish fry decent schezwan chicken ok veg spring rolls good big surprise onion rings starters kadai ghost main course good missing masala flavour chicken ok biryani average egg fried rice good money pay expect good food use much colour food items suggestion management use less coating less food colouring starters overall experience ok much better amount pay,3
place beyond beautiful ambience excellent food good service soumen das extremely good highly recommended place,4
beyond times tried lot dishes never disappoints would specially recommend soups healthy broth soup roasted chicken soup amazing addition service great server papiya courteous prompt place become go place good dining experience,5
time waste taste u r welcome taste really superb service slow dishes impressively different flavours liked,4
food good would add could increase spreadananya courteous good servingambience also good peaceful,5
pardeep shubrat served great food great ambience must try food awesome ambience good great place go team,5
one best restaurants hyderabad near gachibowli ambiance good lunch spread good tasty thank papiya guidance,5
really liked food different get every restaurant really appreciate service papiyaloved presentation food,5
good food good time place ambience really good nice time thanks shubro assistance guidance food,4
best place hangout food really great thanks papiya service staff reallly cooperative ambience really great especially pdrprivate dining room awesome,5
went team lunch worst restaurant food tasteless service slow ac working weve requested multiple times use please dont waste money strictly recommend prefer beyond flavours,1
discovered place returning despicable day office walked ordered food thinking itd takeout food one could get outlet food turned saviour way theyve designed place indeed remarkable lights mixed setup would give retro feel good normal group people would want sit great conversation food,5
second time really beyond imagination beyond taste beyond flavours well courteous staff hospitile taste good best part presentation really meeting standard star restaurant impressed mr ahmed pradeep mr dipanajan friendly took care us well good job guys keep,5
ordered vegetable lasagne sizzler chicken tikka absolutely delicious ambience amazing service good,5
one best food experiences hyderabad desserts yum appricot pudding must ahmed khan service unparalled keep good work,5
ahmed great help beyond flavour may suggest great food good experience staters sizzler good sauce use chicken dish awsome nan soft even take without butter easily eat great experience beyond flavors,5
dinner place attendant papiya staff friendly ambiance awesome good variety food beverages,5
happened go place last sunday mothers day flat buffet meal mother really likedneedless say ambience music really good reservation wait fir mins get seatthey served us mango juice wrlcome drink tasted really goodthe buffet spread one kind strters veg paneer tikka veg spring roll veg cutletthey lil cold taste wad good non veg chicken kebab chicken manchurian fish fish tasty though coupd taste better hotchicken fair enuf singapore noodlesegg salad pasta good cold main course mutton rogan josh chicken tikka masalapalak paneer equally good biriyani egg frued rice chicken biriyani really great desserts moong dal halwa tasted really yumm ice creamgulab jamuncut fruitsbanana cake staff slow service food refilles slowwe wait quite long time actually eat stomach full could improve points stand better overall,3
good ambience absolutely delicious food ive got best company ananya beyond flavours place quite peaceful music fun loving staff great place friends,4
place dinner days back ambience good restaurant almost half occupied immediately got table waited mins get water menu reminders ordered starters main course items mock drinks starters could served mins sign mock drinks noticed similar service issues tables noticed guests literally shouting staff food average dishes prepared well least compared rating zomato finally decided starters hop onto another restaurant rest meal,2
place twice different experiences st time colleagues loved food ambience service everything except prices costly special baked biriyani work try unique tasty good experience revisited place sister orders mocktail terriblethey replace still good asked starter bone boneless told boneless later arrival told comes disappointing know staff doesnt know menu,3
one best places hangout friends seemed like quiet common place group lunches etc food good ambience also nice loved everything,5
ambience good staff polite friendly food super good nice time lunch keep good work thank nice hospitality loved,5
would like introduce restaurant new ingredient called salt add yo food would taste way better basically none food ordered salt ordered fries panko mozzarella sticks tomato cream soup panner italian nachos sure nachos italian basically bought pack dorittos added mozarella cheese top beans baked entire dish cold except plate brought pretty sure dumped items stashed inside microwave paneer horrendous might well called garlic salt next mozarella sticks cold salt decent item got fries soup thanks gid didnt order main course came odd thanks zomato gold price went place way expensive quality food serve talking restaurant general place looks decent stoves stashed tables seats plants kept inconvenient spots really need clean,1
hostile staff okeish food great ambiance sure rating zomato stands starters decent main course horrible suggest place,1
thanks ahmed food great recommend visit service excellent ambience good great time family,5
place flavor food service like beyond good beyond expectations really really quality worth moneyi personally highly recommend placegreat flavour food much prompt serviceambience also enhance flavor restaurant,5
food quality taste good super slow service nice ambience poor customer handling lot items available even menu,2
worst experience restaurant ever first starters served half hour ordering chicken popcorn hair strand yuck guy took main course order forgot completely order waiting almost hour wait another half hour get food worst got us chicken lasagna instead veg lasagna figured chicken right one staunch vegetarian friend almost ate recommend place many better places gachibowli could save time provide better service,1
place really recommend restaurant food lover specifically continental food loverpasta sizzlers yummy cant stop choose restaurant rather otherservice part really satisfied,5
im much impressed quality food service specially mr ahmed thank politeness readiness food say beyond flavours loved place must visit great ambience,5
food indeed beyond falvours ahmed served us well hoping meet next time soon great ambience amazing songs background added innumerous flavours delicious food,5
starters good service also good ahmed polite helped us selecting menul tuned great would like come back,5
bad experience beyond flavours really puts beyond flavours gone dinner next day get hospitalised food infection guess food served fresh,1
lovely ambienceroasted chicken soup highlight dinnerbasket biryani full flavours yummlasagne greatnice go whole familyappetisers quantity less though,4
liked food ambience problem staff responsive weve ordered one item got something else otherwise place food good,2
worst service experience food ok took mins get veg pulav never seen restaurant take time wont visit,1
waiters good enough get items ordered overall bad experience waiting time expected,1
awesome food good ambience centrally located ample parkingcoordination serving boys service scope improvement boys courteous though sure bar closed saturday eveningoverall good experience extremely value moneywill visit,4
office lunch outing rating would mixed food fine service bad booked table day still wait mins get one manager polite gave rubbish reasons bad service ambiance fine,3
really enjoyed follows entrance music lighting seating arrangement decorations everything awsome food best service enhance flavour restaurant realy recommend restaurant,5
came first time restaurant entrance music lighting seating arrangement decorations everything awsome food best service enhance flavour restaurant,5
pathetic horrible experience ambience hospitality food chairs tables broken food cold tasteless buffet arrangement good could bit spacious,2
ahmed serving us polite cooperative staffamazing food ambienceveg gilaffi kabab lasgna must tryloved overall experience,4
paradise biryani really good service also good staff friendly ambiance nice chicken biryani mutton biryani good thank,5
chiken biryani good spcal chiken cary good testy food enjoy food next time visiting family friends,5
good hospitalitygood ambiance good food v good facility packing biriyani long distances good place visit mainly hyderabad biriyani,5
good food tasty better music food better quick responseand everything good good environment,5
goodtasteever paradise makes magicchefs gladly prepare way u prefer nice serve everyonethis world best biryani,5
food quality goodbut sometakes time food arrivesbut food taste goodstaff goodperfect family lunch dinnerenjoy,4
tasty food good service enjoyed lot paradise quick response providers fast deliverytasty food good place good economic people,5
ordered one chicken one mutton biryani good paradise definitly great restaurant biryani restaurant ambinence good along quick service,5
always best time favorite food biryani ka baap every time visit feel something special almost visited times simply best,4
good taste love visit family friends hopefully enjoyed taste biryani make happens every time,5
usual food always good world famous biryani love eat paradise biryani ever service n ambiance also good,5
ordered tandoori chicken starters thats tasty light butter naan mutton masala main course ordered chicken biryani egg mutton biryani tasty light mutton piecs cooked perfection,4
fri approach services especially shri krishan excellent service rendered dishes tasty like visit recommend friends,5
order drumsticks chicken biryani awesome taste good service rating good response service boys good serving good seating,5
food hospitality staff amazing service fast ambience place really good really recommened everyone try kadai chicken,5
service good food also good ambiance good chicken biriyani egg biriyani really good nice service good food overall good,5
ordered chicken biryani egg biriyani food awesome nice place great ambitious definitely come next time service good,5
friendly nice service chicken biryani delicious curry bowl design nice nice temp nice cooling nice tooth pics nice spot selfie nice restaurant settings,5
nice humble staff tasty biryani many people told try another place paradise truly paradise biryani lovers,5
nice restaurant friendly courteous staff variety options choose curry raita really good good options veggies also try,4
food good staff humble great time people good service good food nise ambiance biriyani hybd hybd india,5
haleem good egg biryani also tasty compared places service good happy next time visiting soon friends,4
haleem good chiken biryani good nice place paradise gachibowli happy next time visiting friends,5
ordered special chicken biryanis received two ordinary biryanis bones big time disappointment place known biryani feel like worst biryani costed bucks receiving bucks biryani worst experience,1
nice taste good maintenance nizam chicken biryani good pepper chicken tasty service fast good receiving please visit tasty food,5
parans good ege biryani good service good next time visit friends family lastly thank,5
nice place eat great food great service value money great ambience highly recommended prices bit high definitely worth,5
good food good service good options vegetarians also desserts tasty ambience also neat place looks hygienic,4
ege biriyani good service good nice place paradise gachibowli happy next time visit friends family,5
food especially haleem people hate mutton smell wanted taste haleem go try restaurant service ambience cool,5
chicken biriyani good service good nice place happy enjoy food next time visit family friends,5
chicken biriyani good nice place paradise gachibowli service good nice enjoy food next time visit soon friends,5
awesome biryani kebabs apollo fish best one clean hygienic food courteous staff prompt service response keep good work,5
nice staff food good tastyambience goodservice good staff polite customersoverall food great woo,5
nice place enjoy food servive good food delicious decent ambience good place enjoy nizamis food hyderabad,4
awesome service rajesh team tasty food brevage keep rocking guys become favourite place love come back,5
really delicious though much spicy good grab go must try ur looking good non veg stuff also get experience good ambience,5
bad dine experience restaurant booked place office lunch instructions none met restaurant overall bad experience,1
always best food service chicken good chicken biryani good nice place soo enjoy food lastly thank,5
good service excellent food chicken biryani mutton biryani good ambience also nice good staff overall good food good service happy time,5
taste huge hype biryani hence tried didnt find taste upto par really happy food taste ambience place well versed calming enough keep concentrated food ac wasnt working properly led uneasy food experience service alright dont much talk,3
mutton biryani good service good nice place paradise gachibowli next time visiting family friends,5
tanduri chiken good chiken biriyani good nice place paradise gachibowli happy enjoy food service good,5
paradise gachibowli amazing restaurant ive always received warm service amazing food saleem wonderful server provided good service really love place,5
mutton biryani nice awesome chicken tikka great favourite service nice polite nice time visit soon finally upto mint thats great,5
good time best servicenear place come food tasty good good good good food nice restaurant would like come thank much tasty food,5
taste biriyani well defined taste flavour price biriyani quite leaving service staffs good secure,5
biryani taste good service also good ambience waiter response also good table well maintained clean waiting food,5
like way staff treats customers coolest thing ive seen food presentation also food thats tooo good especially supreme chicken biryani,5
biryani goodthe service goodsuggest everyone visitits good place come family place visit,4
haleem good enjoying food nice place paradise gachibowli service good like next time visit,5
haleem mutton biryani dishes amazingly well cooked service provided tremendous must visit restaurant,5
menu goodservice also goodtaste good biryani goodall items goodbirya nice flavourstaturs good lime shoda good,5
food delicious service also good environment good pleasant pictures walls veg items must specially tried,5
delighted tastealways expect fair good servicevalue moneyhad awesome hangout herei always recommend place,5
good food service quality good ambiance hospitality amazing really enjoyed food judi busy bug birth nick,5
chiken biriyani good muttan biriyani good service good happy nice place paradise gachibowli next time visit,5
regular customer paradise first time zomato ratting given delicious chicken biriyani speed service staff also good thank paradise,5
excellent food years dont miss whenever visit hyderabad love paradise biryani much hyderabad excellent services,5
chicken biriyani good chicken pice soft place good service good happy nexr time visit friends,5
mutton biryani amazing always expecting increase quantity ambience good staff good quick response everything food served within time really appreciated,5
awesome food services degraded compared last year come next time sure expecting thing better thank,5
polite friendly visited place rd time food decent enough good place visit family dinner lunch,5
mumbaikars heard famous paradise restaurant hence decided try one great hope ambience place great however really impressed food service ordered chilli chicken paneer tikka chicken masala lowest rating possible chicken biryani garlic naan staff least bothered kept us waiting like mins jus take order food disappointing much hyped restaurant would go recommend place anyone frequent dine experience,1
ordered mutton haleem awesome taste really exceptional comparing big names pista house shah ghouse definitely try found haleem,5
chicken biryani chillie chicken really tastyservice good nice place paradise gachibowli happy next time visiting,5
friendly staffambience goodhygiene got know history paradise biryani must try anyone fall love,5
ambiance good food good tasted different flavours office team good time staff polite friendly,5
gud foodfast service best people restaurant fast delivery asking rate restaurant nice restaurant good service many badtrips filed dont go,4
kebab tasty also service prompt staff courteous kunal catered needs saw good time must visit place biryani lovers,5
biriyani good provided good service ur restaurant nice looking goodbiriyani good provided good service ur restaurant nice looking goodbiriyani good provided good service ur restaurant nice looking good,5
taste food good varieties well many work ambience restaurant service pretty fast overall fan biryani visit many times,5
